ID;Ronda;Equipo 1;Cant. Goles 1;Cant. Goles 2;Equipo 2
1;1;Argentina;1;2;Arabia Saudita
2;1;Polonia;0;0;Mexico
3;2;Argentina;2;0;Mexico
4;2;Arabia Saudita;0;2;Polonia
